id,age,sex,year,va_home,hs_gpa,col_gpa,skipped,hrs_hw,major,fav_sub,schooltype,greek,clubs,sports,hrs_workout,hrs_ptjob,morning,hrs_slept,daily_meals,days_drink,drugs,relationship,eat_out,hrs_vgames,enjoy_college,politics,legalize_weed,support_abortion,restrict_guns,too_much_ineq,climate_change_real,defund_police,religion,sibs,fav_season,handedness,fired_gun,fav_music,hrs_music,countries_visited,age_married,intro_v_extro,cats_v_dogs,peak,hogwarts_house,superpower
57,21,Male,Senior,I'm not from VA,3.2,1.9,1,0,"Math or Natural Science (Physics, Chemistry, Biology, Math, CS, etc)",Math,Public,No,0,0,0,0,No,8,2,0,No,No,1,4,3,3,4,2,2,2,1,5,Christian,1,Spring,Right,Yes,Jazz or Blues,3,1,30,2,Both,Elementary School,Hufflepuff,Teleportation (30 second recharge time)
58,19,Male,Freshman,Northern VA (DC Area),3.5999999,2.4000001,1,3,Business (Luter school),History,Public,No,0,0,3,0,No,5,2,0,No,No,2,1,2,4,3,3,4,3,3,5,Christian,1,Winter,Ambidextrous,Yes,R&B,8,4,29,4,Dogs,High School,Slytherin,Teleportation (30 second recharge time)
59,18,Female,Freshman,Hampton Roads,3.9000001,3.4000001,4,1,Business (Luter school),Math,Public,No,1,0,2,5,No,8,2,0,Yes,No,2,0,2,2,1,1,4,2,1,3,Atheist or Agnostic,1,Summer,Right,Yes,R&B,3,2,25,4,Cats,High School,Don't know/Don't like Harry Potter,Teleportation (30 second recharge time)
60,18,Female,Freshman,Hampton Roads,3.8,3.4000001,1,.5,"Arts or Humanities (English, Art, Music, History, etc)",Science,Public,No,2,0,0,0,No,6,2,2,No,No,0,4.5,2,2,1,1,3,1,1,3,Christian,3,Winter,Right,Yes,Other,1,0,27,4,Cats,College,Hufflepuff,Teleportation (30 second recharge time)
61,19,Female,Freshman,,3.4400001,2.4200001,0,2,"Math or Natural Science (Physics, Chemistry, Biology, Math, CS, etc)",Other,Public,No,1,0,2,3.5,No,8,2,0,No,No,2,0,4,1,1,1,3,1,1,2,Atheist or Agnostic,2,Fall,Right,No,Pop,5,0,25,2,Dogs,College,Hufflepuff,Flight (the speed of the fastest bird)
62,20,Male,Sophomore,Richmond Area,3.4000001,3.3,3,.5,Business (Luter school),History,Public,Yes,3,0,3,16,No,8,3,3,No,No,2,1,1,4,3,4,3,3,3,5,Christian,3,Summer,Right,Yes,Pop,1,1,24,4,Both,College,Don't know/Don't like Harry Potter,Flight (the speed of the fastest bird)
63,19,Male,Freshman,Richmond Area,3.9000001,3.2,2,2.5,Business (Luter school),History,Public,Yes,6,0,5,5,No,8.5,2,2,Yes,No,1,1,4,5,2,5,3,3,2,5,Christian,1,Summer,Right,Yes,Classic Rock,2 hours,22,25,3,Dogs,High School,Hufflepuff,Super strength (like Captain America)
64,19,Female,Freshman,Hampton Roads,3.9000001,3.3,2,3,"Social or Behavioral Science (Government, Psychology, Sociology, Anthropology, Econ, etc)",English,Public,No,1,0,4,0,Yes,7,2,0,No,Yes,1,1,2,1,1,1,1,2,1,2,Atheist or Agnostic,1,Fall,Right,No,R&B,2,2,27,2,Cats,College,Ravenclaw,Teleportation (30 second recharge time)
65,19,Male,Freshman,Other part of VA,3.7,3.4000001,4,2,Business (Luter school),History,Public,Yes,3,1,8,0,Yes,6,3,4,Yes,No,1,0,3,4,2,4,5,4,3,2,Christian,4,Spring,Right,Yes,Country or Folk,1,3,26,2,Dogs,College,Don't know/Don't like Harry Potter,Teleportation (30 second recharge time)
66,18,Male,Freshman,Northern VA (DC Area),3.8,3.7,2,2,Business (Luter school),Other,Private,Yes,1,1,2,0,No,7,3,,No,No,1,0,2,3,3,3,3,2,1,3,,1,Summer,Right,No,Hiphop/rap,1,15,28,2,Dogs,High School,Gryffindor,Teleportation (30 second recharge time)
